Name,Category,Description,Technologies,Topics,URL,Image URL,_2016_num_projects,_2016_projects_url,_2017_num_projects,_2017_projects_url,_2018_num_projects,_2018_projects_url,_2019_num_projects,_2019_projects_url,_2020_num_projects,_2020_projects_url,_2021_num_projects,_2021_projects_url,_2022_num_projects,_2022_projects_url,_2023_num_projects,_2023_projects_url,_2024_num_projects,_2024_projects_url,years,github
FOSDEM,Programming languages,The organization that handles all aspects of the FOSDEM conference,"postgresql, ruby on rails, git, html, css, javascript, grafana, voctomix, influxdb","web, programming languages, programming tools, ruby, programming, rails, web development, conference, rails application, video processing",https://fosdem.org,https://lh3.googleusercontent.com/WGA5vsI5s6wgv73iYJG8DD4Q6orAln6Q7N5mMv0vG-Rtun9JgRaFq2evxGkb23WbcofNtrj5MogvVtzDou2VfAzpvctWZ0k,1,https://summerofcode.withgoogle.com/archive/2016/organizations/4603925500002304/,1,https://summerofcode.withgoogle.com/archive/2017/organizations/5733807646834688/,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2019/organizations/5379070022385664/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2016, 2017, 2019",
FOSSASIA,Science and medicine,Free and Open Source Software in Asia,"python, javascript, android, java, json api, php, artificial intelligence, c, reactjs","web, graphics, mobile, fashiontech, json, machine learning, artificial intelligence, cloud, event management, web development, personal assistants, open science, search, voice assistants, android",https://fossasia.org,https://summerofcode.withgoogle.com/media/org/fossasia-bg/rquaoyo4v86xj21l-360.png,18,https://summerofcode.withgoogle.com/archive/2016/organizations/4912324552949760/,51,https://summerofcode.withgoogle.com/archive/2017/organizations/5936828200779776/,32,https://summerofcode.withgoogle.com/archive/2018/organizations/6489254813237248/,14,https://summerofcode.withgoogle.com/archive/2019/organizations/5483378286002176/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,https://summerofcode.withgoogle.com/programs/2024/organizations/fossasia-bg,"2016, 2017, 2018, 2019, 2024",
FOSSology,Web,Open Source License Compliance by OSS,"linux, postgresql, c, c++, php, lamp, jquery, bash, python, javascript, twig, reactjs, go","compliance, open source, licensing, spdx, license compliance, license-scan, oss licensing, oss compliance, oss licencing, license management, automation, nlp, compliance automation",https://fossology.org,https://summerofcode.withgoogle.com/media/org/fossology/bqfblnvpsqnfg5bh-360.png,N/A,N/A,N/A,N/A,1,https://summerofcode.withgoogle.com/archive/2018/organizations/5988565108391936/,3,https://summerofcode.withgoogle.com/archive/2019/organizations/4832912116023296/,3,https://summerofcode.withgoogle.com/archive/2020/organizations/6163301563629568/,7,https://summerofcode.withgoogle.com/archive/2021/organizations/5641437164601344/,6,https://summerofcode.withgoogle.com/archive/2022/organizations/fossology/,5,https://summerofcode.withgoogle.com/programs/2023/organizations/fossology,8,https://summerofcode.withgoogle.com/programs/2024/organizations/fossology,"2018, 2019, 2020, 2021, 2022, 2023, 2024",
FRRouting,Other,"Routing suite including BGP, IS-IS, LDP, OSPF, PIM","c, linux, lua, networking, linux kernel, routing","networking, software defined networking, linux, performance, systems programming, routing, systems",https://frrouting.org/,https://summerofcode.withgoogle.com/media/org/frrouting/wvsrcdtt2anax9ej-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://summerofcode.withgoogle.com/archive/2020/organizations/5039063742021632/,1,https://summerofcode.withgoogle.com/archive/2021/organizations/5868804143316992/,1,https://summerofcode.withgoogle.com/archive/2022/organizations/frrouting/,N/A,N/A,N/A,N/A,"2020, 2021, 2022",
Fedora Project,Operating systems,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","python, postgresql, javascript, html5, flask, linux, git, ansible, postgres, golang, rest, angular, html, css, python 3, web development, linux distribution","metrics, web development, realtime messaging, contributor activity, community architecture, community, linux distribution, upstream, desktop, server, linux, containers, mobile, distribution",https://getfedora.org/,https://lh3.googleusercontent.com/emDR-Vri1FQ-diWVnskdOA6G14yfv-5f9EI7vorE7-wfXkQrp7Yi6faWPR86vulPc64fcsUOKu-pMYuV85PZZAIv1njHnw,6,https://summerofcode.withgoogle.com/archive/2016/organizations/5911585470021632/,5,https://summerofcode.withgoogle.com/archive/2017/organizations/5870752142196736/,5,https://summerofcode.withgoogle.com/archive/2018/organizations/5363354906394624/,5,https://summerofcode.withgoogle.com/archive/2019/organizations/6739854375780352/,4,https://summerofcode.withgoogle.com/archive/2020/organizations/6477554824773632/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2016, 2017, 2018, 2019, 2020",
Flashrom,Operating systems,"Reading, writing, verifying, erasing flash chips","c, x86, bios, rom, spi","hardware, drivers, firmware, flash chips, low level programming",https://www.flashrom.org/,https://summerofcode.withgoogle.com/media/org/flashrom/lbs8lwrrtukrpznk-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://summerofcode.withgoogle.com/archive/2022/organizations/flashrom/,N/A,N/A,N/A,N/A,2022,
Forschungszentrum JÃ¼lich,Science and medicine,Shaping change: open source for Big Science,"python, mpi, high performance computing, pytorch, gpu","neuroscience, data analytics, astrophysics, data-intensive science, earth-system monitoring",https://fz-juelich.de/en,https://summerofcode.withgoogle.com/media/org/forschungszentrum-julich/lpw2snlqeq5bopxq-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,https://summerofcode.withgoogle.com/archive/2022/organizations/forschungszentrum-julich/,N/A,N/A,N/A,N/A,2022,
Fortran-lang,Programming languages,High-performance parallel programming language,"python, c, c++, llvm, compiler, fortran","science, engineering, numerical computing, libraries, high-performance computing, compilers, programming languages, build systems, Fortran",https://fortran-lang.org,https://summerofcode.withgoogle.com/media/org/fortran-lang/ay9se7mc6vgdwgbn-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,https://summerofcode.withgoogle.com/archive/2021/organizations/6542461173760000/,5,https://summerofcode.withgoogle.com/archive/2022/organizations/fortran-lang/,3,https://summerofcode.withgoogle.com/programs/2023/organizations/fortran-lang,3,https://summerofcode.withgoogle.com/programs/2024/organizations/fortran-lang,"2021, 2022, 2023, 2024",
FrameNet Brasil (UFJF),Data,Natural Language Understanding with structured computational semantics,"python, mysql, javascript, php","natural language processing, image processing, multimodality, natural language understanding, machine translation, video processing, multilinguality, multimodal communication",http://www.ufjf.br/framenetbr-eng/,https://lh3.googleusercontent.com/4LNL-fV4t3l6MZAA2g-OKLB1hn_lhNlLvf11ppHHRlpt5gEDFhfHFNO1vTa1rvysdir88AjTFzg09XaXPP2V-rar-HgWpP-VF4Qxv-X_iPtn,N/A,N/A,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2019/organizations/5090343328940032/,2,https://summerofcode.withgoogle.com/archive/2020/organizations/5699340439388160/,1,https://summerofcode.withgoogle.com/archive/2021/organizations/6046169112772608/,N/A,N/A,N/A,N/A,N/A,N/A,"2019, 2020, 2021",
Free UK Genealogy,Data,Human transcription of family history data,"python, mysql, mongodb, ruby on rails, css, html","web apps, machine learning, open data, ai, ui/ux",http://www.freeukgenealogy.org.uk,https://lh3.googleusercontent.com/VehPukOZevZhe7ahADaiK4mK4tdSqt3JFldLgnPoWzQGuIqrm8O6E30scj04LI7KTqd474SWMzj3wMeCQOsJxMNA6r25HgI,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2018/organizations/6511795204259840/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018,
